slug	name	category	url	type	source
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v1/api-group-search/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v1/api-group-settings/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v1/api-group-space/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v1/api-group-template/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/confluence/rest/v2/api-group-user/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-announcement-banner/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-custom-field-values--apps-/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-app-openapi	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-application-roles/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-attachments/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/server/framework/atlassian-sdk/audit/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-avatars/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-classification-levels/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-comments/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-project-components/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-jira-settings/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/getting-started-with-connect/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/connect-api-migration/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-service-registry/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-custom-field-options/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-dashboards/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/data-security-policy-developer-guide/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/platform/forge/events-reference/jira/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-jira-expressions/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-fields/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-issue-field-configurations/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v3/api-group-filters/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/forge/	Documentation	api
atlassian	Atlassian	medium:url-host	https://developer.atlassian.com/cloud/jira/platform/rest/v2/api-group-groups/	Documentation	api
